~620	20180608	133202
2132	1	526	050B00000000
2137	1	AD	0000000000000000
2141	1	F2	00000F8600000F8C
2144	1	523	020200000005
2148	1	A3	EDB9C71EECB5E71E
2152	1	D8	00
2156	1	A8	1E0071FCFFFF1300
2160	1	A6	F8FFF6FFEFFF0000
2164	1	526	050E00000000
2167	1	AD	0000000000000000
2171	1	526	050F00000000
2175	1	E0	0000000000000000
2179	1	F2	00000F8600000F8C
2183	1	90	0000000018863000
2187	1	E1	0000000000000000
2191	1	AD	0100000000000000
2195	1	526	050100000000
2199	1	F3	00
2203	1	A3	EDB9D71EECB1F71E
2206	1	A1	DE00EB07CD07F0D8
2210	1	A7	8F0000000300FBFF
2214	1	A5	6E09000000005F00
2218	1	AD	FFFF000000000000
2222	1	AB	0000000000080000
2226	1	D8	00
2229	1	E1	0000000000000000
2233	1	E0	0000000000000000
2237	1	AD	0000000000000000
2241	1	F3	00
2245	1	526	050600000000
2248	1	E1	0000000000000000
2252	1	526	050700000000
2256	1	A3	EDB9D71EECB1F71E
2261	1	E1	0000000000000000
2265	1	A5	6D09000000005D00
2268	1	A3	EDB9C71EECB1F71E
2272	1	AC	00001200AD020000
2276	1	AA	0700010800008000
2280	1	DF	00007F80
2284	1	AD	0100000000000000
2288	1	E1	0000000000000000
2291	1	AD	0000000000000000
2295	1	E0	0000000000000000
2299	1	D8	00
2303	1	123	BBFF01002FFC
2307	1	132	C2FF51FDF8FF
2310	1	90	0000000018863000
2314	1	526	050D00000000
2318	1	A7	810000000000FBFF
2322	1	A5	6D09000000005B00
2326	1	F3	00
2330	1	AC	0000F1FFBF020000
2333	1	526	050F00000000
2338	1	AD	0100000000000000
2342	1	F2	00000F8600000F8C
2346	1	AD	FFFF000000000000
2350	1	A3	EEB9C71EEDB1E71E
2353	1	526	050100000000
2357	1	F4	0470
2362	1	526	050200000000
2365	1	A3	EDB9C71EEDB5E71E
2369	1	F3	00
2373	1	A3	EDB9C71EEEB9F71E
2377	1	526	050300000000
2381	1	AA	0700010800008000
2385	1	A7	790000000100F9FF
2388	1	526	050400000000
2392	1	AD	FFFF000000000000
2396	1	526	050500000000
2400	1	AD	FFFF000000000000
2404	1	526	050600000000
2407	1	E0	0000000000000000
2411	1	528	070700000000
2416	1	90	0000000018864000
2420	1	E1	0000000000000000
2424	1	526	050800000000
2427	1	E0	0000000000000000
2431	1	90	0000000018864000
2435	1	A7	720000000000FFFF
2439	1	A5	6E09000000006F00
2443	1	526	050A00000000
2447	1	AC	00000500E6020000
2450	1	E1	0000000000000000
2454	1	526	050B00000000
2458	1	E0	0000000000000000
2462	1	AD	FFFF000000000000
2466	1	F2	00000F8600000F8C
2470	1	E0	0000000000000000
2473	1	F4	0470
2477	1	E0	0000000000000000
2481	1	A4	0000000000000000
2485	1	A3	EDB5D71EEDB5F71E
2489	1	A6	0200050000000000
2493	1	A4	0000000000000000
2497	1	AE	1000AF1916031820
2501	1	AB	0000000000080000
2505	1	F2	00000F8600000F8C
2509	1	AD	0000000000000000
2512	1	526	050100000000
2516	1	AD	0100000000000000
2520	1	D8	00
2524	1	526	050200000000
2528	1	A3	EDB9D71EEEB9F71E
2532	1	526	050300000000
2535	1	A3	EEB9C71EEEB9E71E
2539	1	F3	00
2543	1	A7	690000000500FDFF
2547	1	A5	6D09000000008000
2551	1	F2	00000F8600000F8C
2555	1	AC	0000FFFF0A030000
2558	1	E0	0000000000000000
2562	1	90	0000000018864000
2567	1	E0	0000000000000000
2571	1	AD	0000000000000000
2575	1	526	050700000000
2578	1	E0	0000000000000000
2582	1	526	050800000000
2586	1	90	0000000018864000
2590	1	F4	0470
2594	1	E1	0000000000000000
2598	1	A7	63000000FBFFFBFF
2601	1	A6	FBFFF8FFFCFF0000
2605	1	AC	000001001C030000
2609	1	AA	0700010800008000
2613	1	526	050B00000000
2617	1	AD	FFFF000000000000
2620	1	E0	0000000000000000
2624	1	E1	0000000000000000
2628	1	E0	0000000000000000
2632	1	F2	00000F8600000F8C
2636	1	526	050D00000000
2640	1	90	0000000018C64000
2644	1	526	050E00000000
2648	1	E0	0000000000000000
2652	1	A5	6E09000000008900
2656	1	A3	EEB5C71EEDB5E71E
2660	1	AA	0700010800008000
2663	1	A7	5E0000000300FFFF
2667	1	D8	00
2671	1	E0	0000000000000000
2675	1	526	050100000000
2679	1	90	0000000018C63000
2683	1	524	030B0000000B
2686	1	526	050200000000
2690	1	90	0000000018C63000
2694	1	E1	0000000000000000
2698	1	A2	F0D8F0D865050000
2702	1	A0	E500E200E900DD00
2706	1	A6	F3FFF8FFF8FF0000
2709	1	A4	0000000000000000
2714	1	A8	1E0071FCFEFFF2FF
2718	1	A6	0800050004000000
2722	1	E0	0000000000000000
2725	1	AD	FFFF000000000000
2729	1	90	0000000018863000
2733	1	AD	FFFF000000000000
2737	1	526	050700000000
2741	1	E0	0000000000000000
2745	1	526	050800000000
2748	1	E0	0000000000000000
2752	1	E1	0000000000000000
2756	1	526	050900000000
2760	1	A3	ECB5C71EEDB5E71E
2764	1	E0	0000000000000000
2768	1	AA	0700010000008000
2771	1	A7	530000000000FFFF
2775	1	526	050B00000000
2779	1	AD	0000000000000000
2783	1	526	050C00000000
2788	1	AD	FFFF000000000000
2791	1	E0	0000000000000000
2795	1	E1	0000000000000000
2799	1	110	B06A2100E8030000
2803	1	124	FDFF0100FEFF
2807	1	526	050E00000000
2810	1	90	0000000018C63000
2814	1	E1	0000000000000000
2818	1	D8	00
2822	1	A8	1E0071FC0000EDFF
2826	1	A6	0800090008000000
2830	1	E0	0000000000000000
2833	1	AC	0000FCFF67030000
2837	1	F3	00
2841	1	E0	0000000000000000
2845	1	E1	0000000000000000
2849	1	90	0000000018864000
2853	1	526	050300000000
2857	1	AD	0100000000000000
2861	1	A3	ECBDC71EEDB5E71E
2865	1	523	020E00000013
2869	1	A3	ECBDC71EECB1E71E
2873	1	526	050500000000
2877	1	A5	6D09000000009200
2881	1	A3	EDB5C71EECB1E71E
2884	1	AB	0000000000080000
2888	1	A8	1E0071FCFCFFF3FF
2892	1	D8	00
2896	1	526	050700000000
2900	1	DF	00007F80
2903	1	AD	FFFF000000000000
2907	1	526	050800000000
2911	1	AD	0100000000000000
2915	1	526	050900000000
2919	1	E1	0000000000000000
2923	1	F3	00
2926	1	523	020F00000013
2930	1	A7	480000000100FDFF
2934	1	A5	6D09000000009E00
2938	1	AD	FFFF000000000000
2943	1	90	0000000018864000
2946	1	E1	0000000000000000
2950	1	AD	FFFF000000000000
2954	1	526	050D00000000
2958	1	AD	0100000000000000
2962	1	F1	30C8E6F830
2965	1	526	050E00000000
2969	1	E0	0000000000000000
2973	1	526	050F00000000
2977	1	E1	0000000000000000
2981	1	90	0000000018863000
2985	1	A5	6E0900000000A800
2988	1	A3	EDB5C71EEDB5E71E
2992	1	AE	1000AF1916031820
2996	1	AB	0000000000080000
3000	1	E0	0000000000000000
3004	1	AD	0100000000000000
3008	1	F3	00
3011	1	E0	0000000000000000
3018	1	E1	0000000000000000
3022	1	AD	FFFF000000000000
3026	1	526	050400000000
3030	1	E1	0000000000000000
3033	1	526	050500000000
3037	1	E1	0000000000000000
3041	1	E0	0000000000000000
3045	1	F2	00000F8600000F8C
3049	1	E1	0000000000000000
3052	1	E0	0000000000000000
3056	1	A7	420000000300F9FF
3060	1	A6	F4FFE8FFF1FF0000
3064	1	AD	0000000000000000
3068	1	AB	0000000000080000
3072	1	E0	0000000000000000
3075	1	AD	FFFF000000000000
3079	1	E1	0000000000000000
3083	1	E0	0000000000000000
3088	1	E1	0000000000000000
3092	1	E0	0000000000000000
3095	1	90	0000000018C64000
3099	1	123	B8FF02002AFC
3103	1	E0	0000000000000000
3107	1	521	000EFFFFFFF7
3111	1	A5	6D09000000009100
3114	1	A3	EDB9C71EECB1F71E
3118	1	AC	00000000C7030000
3122	1	AA	0700010000008000
3126	1	F2	00000F8600000F8C
3137	1	AD	0000000000000000
3161	1	90	0000000018864000
3165	1	AD	FFFF000000000000
3169	1	E1	0000000000000000
3172	1	E0	0000000000000000
3176	1	526	050300000000
3180	1	F3	00
3184	1	526	050400000000
3188	1	D8	00
